rq,game,mechanism,model,run,log_file,source_status,primary_cooperation_pct,receiver_cooperation_pct,n_agents,n_rounds,multiplier,final_group_payoff_per_round,final_payoff_per_agent_round,base_payoff_per_agent_round,mechanism_adjustment_per_agent_round,resource_adjusted_surplus_per_agent_round,normalized_net_welfare_pct,normalized_base_welfare_pct
RQ1,PD,none,Grok-4.3,1,,accounting_reconstruction_from_attachment; no exactly matching raw directory,0.0,nan,24.0,10.0,nan,24.0,1.0,1.0,0.0,0.0,0.0,0.0
RQ1,PD,none,Grok-4.3,2,,accounting_reconstruction_from_attachment; no exactly matching raw directory,0.0,nan,24.0,10.0,nan,24.0,1.0,1.0,0.0,0.0,0.0,0.0
RQ1,PD,none,Grok-4.3,3,,accounting_reconstruction_from_attachment; no exactly matching raw directory,0.0,nan,24.0,10.0,nan,24.0,1.0,1.0,0.0,0.0,0.0,0.0
RQ1,PD,none,DeepSeek-V4-Pro,1,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log1.json,raw_logs,0.0,nan,24.0,10.0,nan,24.0,1.0,1.0,0.0,0.0,0.0,0.0
RQ1,PD,none,DeepSeek-V4-Pro,2,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log2.json,raw_logs,0.4166666666666667,nan,24.0,10.0,nan,24.3,1.0125,1.0125,0.0,0.012499999999999956,0.6249999999999978,0.6249999999999978
RQ1,PD,none,DeepSeek-V4-Pro,3,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log3.json,raw_logs,0.0,nan,24.0,10.0,nan,24.0,1.0,1.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Llama-3-8B,1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,raw_logs,56.23611111111111,nan,24.0,30.0,1.2,533.9866666666668,22.24944444444445,22.249444444444446,4.736951571734001e-15,2.2494444444444497,56.236111111111185,56.236111111111114
RQ1,PGG,none,Llama-3-8B,2,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs2.json,raw_logs,60.83333333333333,nan,24.0,30.0,1.2,538.4,22.433333333333334,22.433333333333334,0.0,2.4333333333333336,60.83333333333335,60.833333333333336
RQ1,PGG,none,Llama-3-8B,3,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs3.json,raw_logs,63.47222222222222,nan,24.0,30.0,1.2,540.9333333333333,22.538888888888888,22.538888888888888,0.0,2.538888888888888,63.47222222222221,63.47222222222221
RQ1,PGG,none,Llama-3-70B,1,RQ1_old_result/result_public_goods_group/llama3-70b-three/game_logs1.json,raw_logs,48.013888888888886,nan,24.0,30.0,9.6,2462.0133333333333,102.5838888888889,102.5838888888889,0.0,82.5838888888889,48.01388888888889,48.013888888888886
RQ1,PGG,none,Llama-3-70B,2,RQ1_old_result/result_public_goods_group/llama3-70b-three/game_logs2.json,raw_logs,47.076388888888886,nan,24.0,30.0,9.6,2423.313333333333,100.97138888888888,100.97138888888888,0.0,80.97138888888888,47.07638888888889,47.07638888888889
RQ1,PGG,none,Llama-3-70B,3,RQ1_old_result/result_public_goods_group/llama3-70b-three/game_logs3.json,raw_logs,47.076388888888886,nan,24.0,30.0,9.6,2423.313333333333,100.97138888888888,100.97138888888888,0.0,80.97138888888888,47.07638888888889,47.07638888888889
RQ1,PGG,none,Qwen2.5-7B-Instruct,1,RQ1_old_result/result_public_goods_group/qwen2.5-7b-instruct-three/game_logs1.json,raw_logs,3.0555555555555554,nan,24.0,30.0,1.2,482.93333333333334,20.122222222222224,20.122222222222224,0.0,0.12222222222222356,3.0555555555555602,3.0555555555555545
RQ1,PGG,none,Qwen2.5-7B-Instruct,2,RQ1_old_result/result_public_goods_group/qwen2.5-7b-instruct-three/game_logs2.json,raw_logs,6.999999999999999,nan,24.0,30.0,1.2,486.71999999999997,20.279999999999998,20.28,-2.3684757858670005e-15,0.2799999999999976,6.999999999999977,7.000000000000003
RQ1,PGG,none,Qwen2.5-7B-Instruct,3,RQ1_old_result/result_public_goods_group/qwen2.5-7b-instruct-three/game_logs3.json,raw_logs,1.1805555555555556,nan,24.0,30.0,1.2,481.1333333333333,20.04722222222222,20.04722222222222,0.0,0.04722222222222072,1.180555555555556,1.1805555555555558
RQ1,PGG,none,GLM-5.1,1,RQ1_result/result/public_goods/result_090801_glm-5.1/game_logs1.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,GLM-5.1,2,RQ1_result/result/public_goods/result_090801_glm-5.1/game_logs2.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,GLM-5.1,3,RQ1_result/result/public_goods/result_090801_glm-5.1/game_logs3.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,GPT-5.4,1,RQ1_result/result/public_goods/result_070108_gpt-5.4/game_logs1.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,GPT-5.4,2,RQ1_result/result/public_goods/result_070108_gpt-5.4/game_logs2.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,GPT-5.4,3,RQ1_result/result/public_goods/result_070108_gpt-5.4/game_logs3.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Gemini-3.1-Pro-Preview,1,RQ1_result/result/public_goods/result_082001_gemini-3.1-pro-preview/game_logs1.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Gemini-3.1-Pro-Preview,2,RQ1_result/result/public_goods/result_082001_gemini-3.1-pro-preview/game_logs2.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Gemini-3.1-Pro-Preview,3,RQ1_result/result/public_goods/result_082001_gemini-3.1-pro-preview/game_logs3.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Claude-Opus-4-6,1,RQ1_result/result/public_goods/result_082001_claude-opus-4-6/game_logs1.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Claude-Opus-4-6,2,RQ1_result/result/public_goods/result_082001_claude-opus-4-6/game_logs2.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Claude-Opus-4-6,3,RQ1_result/result/public_goods/result_082001_claude-opus-4-6/game_logs3.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Kimi-K2.6,1,RQ1_result/result/public_goods/result_072301_kimi-k2.6/game_logs1.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Kimi-K2.6,2,RQ1_result/result/public_goods/result_072301_kimi-k2.6/game_logs2.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Kimi-K2.6,3,RQ1_result/result/public_goods/result_072301_kimi-k2.6/game_logs3.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
RQ1,PGG,none,Grok-4.3,1,RQ1_result/result/public_goods/result_072202_grok-4.3/game_logs1.json,raw_logs,0.0,nan,24.0,30.0,9.6,480.0,20.0,20.0,0.0,0.0,0.0,0.0
