game,mechanism,n_models,mean_delta_final_payoff_per_agent_round,mean_delta_resource_adjusted_surplus_per_agent_round,mean_delta_normalized_net_welfare_pct,median_delta_normalized_net_welfare_pct,models_positive_normalized_welfare,models_zero_normalized_welfare,models_negative_normalized_welfare
PD,punishment,7,0.24940476190476188,0.2494047619047619,12.470238095238097,1.8750000000000007,5,2,0
PD,reputation,7,0.5146825396825397,0.5146825396825397,25.734126984126984,1.944444444444441,5,2,0
PD,reward,7,0.7597222222222223,0.7597222222222222,37.98611111111111,11.805555555555555,5,2,0
PGG,punishment,7,39.17689814814815,39.17689814814815,22.77726636520241,0.1388888888888889,4,1,2
PGG,reputation,7,77.87865079365078,77.87865079365079,45.27828534514582,51.16279069767442,6,1,0
PGG,reward,7,26.71505291005291,26.71505291005291,15.532007505844717,3.6321059431524545,6,1,0
TG,punishment,7,4.791203703703704,4.791203703703704,47.91203703703703,54.60648148148148,7,0,0
TG,reputation,7,5.91574074074074,5.915740740740742,59.157407407407405,61.29629629629629,7,0,0
TG,reward,7,4.548809523809525,2.882142857142857,57.914021164021165,58.12037037037037,7,0,0
